State,County Name,Vote Power,Voter Turnout,FIPS
AL,Autauga County,1.5,66.20%,1001
AL,Baldwin County,1.5,65.30%,1003
AL,Barbour County,1.9,54.00%,1005
AL,Bibb County,1.8,54.60%,1007
AL,Blount County,1.6,64.20%,1009
AL,Bullock County,1.7,59.10%,1011
AL,Butler County,1.6,62.90%,1013
AL,Calhoun County,1.7,57.90%,1015
AL,Chambers County,1.7,58.50%,1017
AL,Cherokee County,1.7,59.50%,1019
AL,Chilton County,1.7,59.50%,1021
AL,Choctaw County,1.4,73.30%,1023
AL,Clarke County,1.4,70.30%,1025
AL,Clay County,1.5,66.40%,1027
AL,Cleburne County,1.6,63.10%,1029
AL,Coffee County,1.7,57.20%,1031
AL,Colbert County,1.5,64.80%,1033
AL,Conecuh County,1.5,66.60%,1035
AL,Coosa County,1.6,61.70%,1037
AL,Covington County,1.7,60.30%,1039
AL,Crenshaw County,1.6,62.50%,1041
AL,Cullman County,1.5,65.80%,1043
AL,Dale County,1.9,52.90%,1045
AL,Dallas County,1.6,62.20%,1047
AL,DeKalb County,1.7,58.90%,1049
AL,Elmore County,1.5,65.70%,1051
AL,Escambia County,1.8,55.90%,1053
AL,Etowah County,1.7,60.30%,1055
AL,Fayette County,1.5,68.00%,1057
AL,Franklin County,1.7,57.30%,1059
AL,Geneva County,1.6,61.50%,1061
AL,Greene County,1.3,74.10%,1063
AL,Hale County,1.4,69.80%,1065
AL,Henry County,1.5,68.80%,1067
AL,Houston County,1.7,57.80%,1069
AL,Jackson County,1.7,58.40%,1071
AL,Jefferson County,1.5,66.00%,1073
AL,Lamar County,1.5,67.00%,1075
AL,Lauderdale County,1.7,60.40%,1077
AL,Lawrence County,1.6,62.60%,1079
AL,Lee County,1.7,57.70%,1081
AL,Limestone County,1.5,67.00%,1083
AL,Lowndes County,1.1,89.20%,1085
AL,Macon County,1.7,57.40%,1087
AL,Madison County,1.4,69.90%,1089
AL,Marengo County,1.3,74.60%,1091
AL,Marion County,1.7,59.10%,1093
AL,Marshall County,1.7,59.10%,1095
AL,Mobile County,1.7,58.70%,1097
AL,Monroe County,1.5,65.10%,1099
AL,Montgomery County,1.7,59.20%,1101
AL,Morgan County,1.6,60.80%,1103
AL,Perry County,1.4,73.60%,1105
AL,Pickens County,1.6,62.60%,1107
AL,Pike County,1.9,53.30%,1109
AL,Randolph County,1.6,61.00%,1111
AL,Russell County,2,49.30%,1113
AL,St. Clair County,1.5,65.30%,1115
AL,Shelby County,1.4,71.70%,1117
AL,Sumter County,1.6,63.40%,1119
AL,Talladega County,1.7,57.30%,1121
AL,Tallapoosa County,1.5,66.20%,1123
AL,Tuscaloosa County,1.8,56.20%,1125
AL,Walker County,1.6,63.40%,1127
AL,Washington County,1.4,69.20%,1129
AL,Wilcox County,1.4,73.80%,1131
AL,Winston County,1.6,60.70%,1133
AZ,Apache County,1.5,67.50%,4001
AZ,Cochise County,1.6,64.00%,4003
AZ,Coconino County,1.5,66.50%,4005
AZ,Gila County,1.5,65.30%,4007
AZ,Graham County,1.8,54.50%,4009
AZ,Greenlee County,1.8,54.80%,4011
AZ,La Paz County,2.2,45.80%,4012
AZ,Maricopa County,1.5,68.60%,4013
AZ,Mohave County,1.6,62.10%,4015
AZ,Navajo County,1.5,64.90%,4017
AZ,Pima County,1.5,68.30%,4019
AZ,Pinal County,1.8,56.80%,4021
AZ,Santa Cruz County,1.4,69.10%,4023
AZ,Yavapai County,1.3,75.80%,4025
AZ,Yuma County,1.9,53.50%,4027
AR,Arkansas County,2.2,46.30%,5001
AR,Ashley County,1.9,52.70%,5003
AR,Baxter County,1.6,61.40%,5005
AR,Benton County,1.5,66.10%,5007
AR,Boone County,1.7,59.40%,5009
AR,Bradley County,2.1,47.60%,5011
AR,Calhoun County,1.9,52.20%,5013
AR,Carroll County,1.7,58.10%,5015
AR,Chicot County,1.9,51.80%,5017
AR,Clark County,2.1,47.30%,5019
AR,Clay County,2.2,45.10%,5021
AR,Cleburne County,1.6,63.10%,5023
AR,Cleveland County,1.7,57.70%,5025
AR,Columbia County,2.1,46.70%,5027
AR,Conway County,1.8,54.70%,5029
AR,Craighead County,2.1,48.60%,5031
AR,Crawford County,1.9,51.90%,5033
AR,Crittenden County,2.1,47.20%,5035
AR,Cross County,1.8,56.20%,5037
AR,Dallas County,2.1,47.40%,5039
AR,Desha County,2,50.40%,5041
AR,Drew County,2.1,48.60%,5043
AR,Faulkner County,1.7,58.60%,5045
AR,Franklin County,1.9,52.20%,5047
AR,Fulton County,1.9,52.70%,5049
AR,Garland County,1.7,57.70%,5051
AR,Grant County,1.7,58.70%,5053
AR,Greene County,2.1,47.40%,5055
AR,Hempstead County,2.2,45.10%,5057
AR,Hot Spring County,2.1,47.80%,5059
AR,Howard County,1.9,52.90%,5061
AR,Independence County,1.9,52.10%,5063
AR,Izard County,1.9,52.00%,5065
AR,Jackson County,2.6,37.80%,5067
AR,Jefferson County,2.1,47.70%,5069
AR,Johnson County,1.9,51.40%,5071
AR,Lafayette County,2,50.00%,5073
AR,Lawrence County,2.2,45.70%,5075
AR,Lee County,2.5,39.40%,5077
AR,Lincoln County,2.8,35.70%,5079
AR,Little River County,1.9,54.00%,5081
AR,Logan County,2,48.90%,5083
AR,Lonoke County,1.8,57.00%,5085
AR,Madison County,1.7,59.40%,5087
AR,Marion County,1.8,55.60%,5089
AR,Miller County,2,50.50%,5091
AR,Mississippi County,2.4,41.10%,5093
AR,Monroe County,1.9,51.90%,5095
AR,Montgomery County,1.8,54.50%,5097
AR,Nevada County,1.9,52.60%,5099
AR,Newton County,1.6,64.40%,5101
AR,Ouachita County,1.9,53.00%,5103
AR,Perry County,1.7,57.70%,5105
AR,Phillips County,2.2,46.30%,5107
AR,Pike County,1.9,52.50%,5109
AR,Poinsett County,2.4,42.00%,5111
AR,Polk County,1.8,57.10%,5113
AR,Pope County,1.9,51.70%,5115
AR,Prairie County,1.8,54.20%,5117
AR,Pulaski County,1.7,58.70%,5119
AR,Randolph County,2,50.60%,5121
AR,St. Francis County,2.7,36.90%,5123
AR,Saline County,1.6,62.80%,5125
AR,Scott County,2.2,45.80%,5127
AR,Searcy County,1.6,63.60%,5129
AR,Sebastian County,1.9,51.50%,5131
AR,Sevier County,1.9,51.60%,5133
AR,Sharp County,1.8,55.70%,5135
AR,Stone County,1.7,58.90%,5137
AR,Union County,1.8,56.90%,5139
AR,Van Buren County,1.7,59.20%,5141
AR,Washington County,1.7,58.00%,5143
AR,White County,1.9,52.50%,5145
AR,Woodruff County,2.1,48.70%,5147
AR,Yell County,2.2,45.60%,5149
CA,Alameda County,1.4,70.60%,6001
CA,Alpine County,1.2,83.70%,6003
CA,Amador County,1.4,69.40%,6005
CA,Butte County,1.7,59.70%,6007
CA,Calaveras County,1.4,72.70%,6009
CA,Colusa County,1.6,62.90%,6011
CA,Contra Costa County,1.3,75.10%,6013
CA,Del Norte County,1.8,55.80%,6015
